2_54	1_34	42.391	92	47	2	53	141	44	132	1.53e-12	62.0
2_54	1_116	49.180	61	29	1	75	133	130	190	3.33e-11	57.4
2_55	1_13	77.258	598	88	10	1	586	1	562	0.0	846
2_56	1_399	66.727	550	131	16	1	514	1	534	6.95e-149	432
2_57	1_362	70.068	588	155	5	1	572	1	583	0.0	845
2_58	1_172	81.595	163	27	2	1	162	1	161	8.17e-91	261
2_59	1_134	90.221	1043	95	5	8	1049	11	1047	0.0	1935
2_60	1_236	95.197	458	20	1	1	458	1	456	0.0	877
2_61	1_350	64.800	125	44	0	16	140	190	314	2.15e-54	177
2_62	1_188	59.438	249	101	0	1	249	62	310	9.80e-106	313
2_62	1_9	32.510	243	138	8	19	251	56	282	6.90e-25	98.2
2_62	1_253	27.232	224	140	5	27	246	21	225	2.33e-16	73.2
2_62	1_165	25.591	254	155	8	8	247	261	494	3.91e-16	72.8
2_62	1_158	28.634	227	128	8	29	246	70	271	9.93e-16	71.2
2_62	1_387	28.070	228	130	8	27	245	133	335	7.09e-15	68.6
2_62	1_90	28.319	226	128	8	29	245	144	344	1.06e-14	68.2
2_62	1_356	28.507	221	134	6	29	245	193	393	1.23e-14	67.8
2_62	1_315	26.271	236	140	9	30	246	363	583	4.73e-14	66.6
2_62	1_233	31.373	153	90	4	106	251	8	152	6.02e-12	60.1
2_62	1_337	30.556	144	85	4	111	246	1167	1303	1.69e-11	58.9
2_62	1_357	30.323	155	85	6	108	246	879	1026	4.11e-09	51.6
2_62	1_118	28.462	130	80	3	117	246	177	293	9.12e-09	50.4
2_62	1_156	25.466	161	84	5	6	149	87	228	1.53e-08	49.7
2_63	1_105	79.769	2254	349	31	1	2193	1	2208	0.0	3309
2_64	1_370	80.938	320	59	1	1	320	1	318	0.0	516
2_65	1_72	62.910	488	169	7	17	494	7	492	0.0	596
2_66	1_241	51.070	327	158	2	85	409	24	350	6.77e-117	340
2_67	1_159	81.818	143	23	1	1	140	1	143	4.16e-77	221
2_69	1_188	55.161	310	120	2	30	337	88	380	2.31e-111	335
2_69	1_9	29.846	325	200	9	33	345	67	375	2.88e-30	119
2_69	1_9	37.500	56	35	0	396	451	666	721	8.92e-08	48.9
2_69	1_158	31.392	309	184	10	30	332	69	355	1.53e-29	116
2_69	1_158	42.857	70	36	1	386	451	606	675	5.35e-10	56.2
2_69	1_253	27.848	316	202	7	29	337	20	316	1.77e-28	113
2_69	1_253	34.722	72	43	1	391	458	655	726	9.36e-09	52.0
